s_str,t_str,st_samestr,s_stem,t_stem,st_samestem,s_pos,t_pos,st_precede,st_follow,class
'have obtained',obtained,0,'have obtain',obtain,0,'VB PPR',VBN,1,1,bigrammar-vtense
'Statistical Machine Translation',SMT,0,'Statistical Machine Translation',SMT,0,'NNP NNP POS',NNP,1,1,para-freeword
'in of the case',for,0,'in of the case',for,0,'IN IN DET POS',IN,1,1,bigrammar-prep
'in the case of',for,0,'in the case of',for,0,'IN DET NN POS',IN,1,1,bigrammar-prep
use,used,0,use,use,1,NN,VBN,1,1,bigrammar-vtense
use,used,0,use,use,1,NN,VBN,1,1,bigrammar-vtense
by,?,0,by,?,0,IN,?,0,0,mogrammar-prep
text,texts,0,text,text,1,NN,NNS,1,1,bigrammar-nnum
?,with,0,?,with,0,?,IN,0,0,mogrammar-prep
of,in,0,of,in,0,IN,IN,1,0,bigrammar-prep
between,among,0,between,among,0,IN,IN,1,1,bigrammar-prep
?,in,0,?,in,0,?,IN,0,0,mogrammar-prep
?,for,0,?,for,0,?,IN,0,0,mogrammar-prep
?,for,0,?,for,0,?,IN,0,0,mogrammar-prep
'worst the',?,0,'bad the',?,0,'JJS POS',?,0,0,unaligned
?,of,0,?,of,0,?,IN,0,0,mogrammar-prep
the,the,1,the,the,1,DET,DET,0,1,bigrammar-det
?,for,0,?,for,0,?,IN,0,0,mogrammar-prep
'second best',second-best,0,'second good',second-best,0,'JJ PPR',JJ,1,0,typo-spelling
are,were,0,be,be,1,VBP,VBD,1,0,bigrammar-vtense
?,for,0,?,for,0,?,IN,0,0,mogrammar-prep
the,?,0,the,?,0,DET,?,0,0,unaligned
?,with,0,?,with,0,?,IN,0,0,mogrammar-prep
are,were,0,be,be,1,VBP,VBD,1,1,bigrammar-vtense
in,for,0,in,for,0,IN,IN,1,1,bigrammar-prep
?,for,0,?,for,0,?,IN,0,0,mogrammar-prep
treat,treats,0,treat,treat,1,NN,VBZ,1,1,bigrammar-inter
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
details,detail,0,detail,detail,1,NNS,NN,1,1,bigrammar-nnum
investigation,investigations,0,investigation,investigation,1,NN,NNS,1,1,bigrammar-nnum
difference,differences,0,difference,difference,1,NN,NNS,1,0,bigrammar-nnum
of,in,0,of,in,0,IN,IN,0,1,bigrammar-prep
affects,affected,0,affect,affect,1,VBZ,JJ,1,1,bigrammar-vtense
they,'the data',0,they,'the datum',0,PRP,'DET POS',1,0,para-freeword
were,was,0,be,be,1,VBD,VBD,0,0,bigrammar-inter
about,?,0,about,?,0,IN,?,0,0,mogrammar-prep
suggested,'have suggested that',0,suggest,'have suggest that',0,VBN,'VB VBN POS',0,1,bigrammar-vtense
problems,problem,0,problem,problem,1,NNS,NN,0,1,bigrammar-nnum
their,these,0,their,these,0,PRPS,DET,1,1,bigrammar-det
are,is,0,be,be,1,VBP,VBZ,0,0,bigrammar-inter
of,?,0,of,?,0,IN,?,0,0,mogrammar-prep
those,the,0,those,the,0,DET,DET,1,1,bigrammar-det
on,of,0,on,of,0,IN,IN,1,1,bigrammar-prep
toward,for,0,toward,for,0,IN,IN,1,1,bigrammar-prep
to,for,0,to,for,0,TO,IN,1,1,bigrammar-prep
explored,'explored have',0,explore,'explore have',0,NN,'NN PPR',1,1,bigrammar-vtense
increase,increasing,0,increase,increase,1,NN,VBG,1,1,bigrammar-wform
are,is,0,be,be,1,VBP,VBZ,1,1,bigrammar-others
of,?,0,of,?,0,IN,?,0,0,mogrammar-prep
interdependencies,interdependency,0,interdependency,interdependency,1,NNS,NN,1,1,bigrammar-nnum
nor,or,0,nor,or,0,CC,CC,1,1,bigrammar-others
of,of,1,of,of,1,IN,IN,1,1,bigrammar-prep
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
in,of,0,in,of,0,IN,IN,1,0,bigrammar-prep
the,a,0,the,a,0,DET,DET,0,1,bigrammar-det
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
in,into,0,in,into,0,IN,IN,1,1,bigrammar-prep
with,to,0,with,to,0,IN,TO,1,1,bigrammar-prep
and,'we describe and',0,and,'we describe and',0,CC,'PRP VB PPS',1,1,para-freeword
'we use','that we use',0,'we use','that we use',0,'PRP POS','IN PRP POS',1,1,para-freeword
senses,'senses that',0,sense,'sense that',0,NNS,'NNS POS',1,1,para-freeword
?,into,0,?,into,0,?,IN,0,0,mogrammar-prep
verbs,'verbs do',0,verb,'verb do',0,NNS,'NNS PPR',1,1,para-freeword
describe,'describe will',0,describe,'describe will',0,VB,'VB PPR',1,1,bigrammar-vtense
'associated with finer-grained senses','commonly associated senses with finer-grained',0,'associate with finer-grained sense','commonly associate sense with finer-grained',0,'VBN IN JJ POS','RB VBN NNS IN PPR',0,1,para-freeword
to,in,0,to,in,0,TO,IN,1,0,bigrammar-prep
achieve,achieving,0,achieve,achieve,1,VB,VBG,0,0,bigrammar-inter
offering,'that offers',0,offer,'that offer',0,NN,'IN POS',1,1,bigrammar-inter
'to be',as,0,'to be',as,0,'TO PPR',IN,1,1,bigrammar-prep
showed,shows,0,show,show,1,VBD,NNS,1,1,bigrammar-vtense
incorporating,'that incorporates',0,incorporate,'that incorporate',0,VBG,'IN PPR',1,1,bigrammar-inter
researches,research,0,research,research,1,VBZ,NN,0,1,bigrammar-nnum
on,in,0,on,in,0,IN,IN,1,1,bigrammar-prep
sequencial,sequential,0,sequencial,sequential,0,NN,NN,1,1,typo-spelling
sequencial,sequential,0,sequencial,sequential,0,NN,NN,1,1,typo-spelling
?,that,0,?,that,0,?,IN,0,0,unaligned
the,?,0,the,?,0,DET,?,0,0,unaligned
'which was ranked',ranked,0,'which be rank',rank,0,'WDT VBD PPR',VBN,1,1,para-freeword
are,'would be',0,be,'would be',0,VBP,'MD PPR',1,1,bigrammar-vtense
this,the,0,this,the,0,DET,DET,1,1,bigrammar-det
One,'One problem',0,One,'One problem',0,CD,'CD POS',1,1,para-freeword
other,'other problem',0,other,'other problem',0,JJ,'JJ POS',1,1,para-freeword
?,as,0,?,as,0,?,IN,0,0,mogrammar-prep
serving,'thereby serving',0,serve,'thereby serve',0,VBG,'RB PPR',1,1,para-freeword
which,that,0,which,that,0,WDT,IN,1,1,bigrammar-others
a,the,0,a,the,0,DET,DET,1,1,bigrammar-det
'to build','of building',0,'to build','of build',0,'TO PPR','IN POS',1,1,para-colocation
At,In,0,At,In,0,IN,IN,1,1,bigrammar-prep
splitted,split,0,splitted,split,0,NN,NN,1,1,typo-spelling
'to parse',parsing,0,'to parse',parse,0,'TO POS',VBG,0,1,bigrammar-wform
?,as,0,?,as,0,?,IN,0,0,mogrammar-prep
?,for,0,?,for,0,?,IN,0,0,mogrammar-prep
hereinafter,hereafter,0,hereinafter,hereafter,0,NN,RB,1,1,typo-spelling
labels,label,0,label,label,1,NNS,NN,1,1,bigrammar-others
?,with,0,?,with,0,?,IN,0,0,mogrammar-prep
includes,include,0,include,include,1,VBZ,VB,1,1,bigrammar-others
use,'have used',0,use,'have use',0,NN,'VB PPR',1,1,bigrammar-vtense
is,are,0,be,be,1,VBZ,VBP,1,1,bigrammar-inter
are,was,0,be,be,1,VBP,VBD,1,1,bigrammar-vtense
are,were,0,be,be,1,VBP,VBD,0,1,bigrammar-vtense
the,an,0,the,an,0,DET,DET,1,1,bigrammar-det
shows,show,0,show,show,1,NNS,NN,1,1,bigrammar-inter
fortunatelly,fortunately,0,fortunatelly,fortunately,0,RB,RB,0,1,typo-spelling
to,for,0,to,for,0,TO,IN,1,1,bigrammar-prep
improvements,improvement,0,improvement,improvement,1,NNS,NN,1,1,bigrammar-nnum
was,were,0,be,be,1,VBD,VBD,1,1,bigrammar-others
for,in,0,for,in,0,IN,IN,1,1,bigrammar-prep
'action recognition','actions recognize',0,'action recognition','action recognize',0,'NN POS','NNS PPR',0,0,para-colocation
it,they,0,it,they,0,PRP,PRP,0,1,bigrammar-nnum
on,to,0,on,to,0,IN,TO,1,1,bigrammar-prep
for,at,0,for,at,0,IN,IN,1,0,bigrammar-prep
'action recognition','recognizing actions',0,'action recognition','recognize action',0,'NN POS','VBG POS',0,1,para-colocation
'we extract dense trajectories','dense trajectories are extracted',0,'we extract dense trajectory','dense trajectory be extract',0,'PRP NN JJ POS','JJ NNS VBP PPR',1,0,para-passact
The,These,0,The,These,0,DET,DET,1,1,bigrammar-det
'can capture',capture,0,'can capture',capture,0,'MD POS',NN,1,1,bigrammar-vtense
on,to,0,on,to,0,IN,TO,1,0,bigrammar-prep
'framework of using',on,0,'framework of use',on,0,'NN IN PPR',IN,0,1,para-freeword
'Evaluation results','The results of the evaluation',0,'Evaluation result','The result of the evaluation',0,'NN POS','DET NNS IN DET POS',1,0,para-colocation
for,at,0,for,at,0,IN,IN,1,0,bigrammar-prep
'action recognition','recognizing actions',0,'action recognition','recognize action',0,'NN POS','VBG POS',0,0,para-colocation
on,in,0,on,in,0,IN,IN,0,1,bigrammar-prep
the,other,0,the,other,0,DET,JJ,1,1,bigrammar-det
'recognition Action','The recognition of actions',0,'recognition Action','The recognition of action',0,'NN POS','DET NN IN POS',1,0,para-colocation
'has been one of the','is an',0,'have be one of the','be an',0,'VBZ VBN CD IN POS','VBZ POS',1,1,para-freeword
'research fields','topic of research',0,'research field','topic of research',0,'NN POS','NN IN POS',1,1,para-colocation
'computer vision','computer field vision',0,'computer vision','computer field vision',0,'NN POS','NN NN POS',1,1,para-colocation
'due to its wide','and it has a diverse range of',0,'due to it wide','and it have a diverse range of',0,'JJ TO PRPS PPR','CC PRP VBZ DET JJ NN POS',1,1,para-freeword
'complicated environment','complicated the nature of most environments',0,'complicate environment','complicate the nature of most environment',0,'JJ POS','JJ DET NN IN JJS POS',1,1,para-colocation
e.g,'e.g. ,',0,e.g,'e.g. ,',0,NN,'PP PPR',1,1,typo-spelling
'that appears',appearing,0,'that appear',appear,0,'IN PPR',VBG,1,1,bigrammar-wform
'the motion',it,0,'the motion',it,0,'DET POS',PRP,1,1,bigrammar-det
'Based on recent works , has been demonstrated at','Recent studies have shown that is a means of',0,'Based on recent work , have be demonstrate at','Recent study have show that be a mean of',0,'VBN IN JJ NNS PPC VBZ VBN VBN POS','JJ NNS VB VBN IN VBZ DET NNS POS',1,1,para-freeword
mainly,'of the',0,mainly,'of the',0,RB,'IN POS',0,0,para-freeword
are,'have been',0,be,'have be',0,VBP,'VB PPR',1,1,bigrammar-vtense
on,to,0,on,to,0,IN,TO,1,0,bigrammar-prep
'action recognition in the domain of 2D video','2D video',0,'action recognition in the domain of 2D video','2D video',0,'NN NN IN DET NN IN NNP POS','JJ POS',1,1,para-freeword
'the challenges mentioned','the above - mentioned challenges',0,'the challenge mention','the above - mention challenge',0,'DET NNS PPR','DET IN PPS VBN POS',1,1,para-colocation
'With development new capturing as well as become more easily','Meanwhile advent made it to capture easier',0,'With development new capture as well as become more easily','Meanwhile advent make it to capture easy',0,'IN NN JJ VBG IN RB IN VBN JJR PPR','RB NN VBN PRP TO NN PPR',1,0,para-freeword
e.g.,'e.g. ,',0,e.g.,'e.g. ,',0,PP,'PP PPR',1,0,typo-spelling
?,',',0,?,',',0,?,PPR,0,0,unaligned
for,'as available',0,for,'as available',0,IN,'IN PPR',1,1,bigrammar-prep
'body shape','body the shape of',0,'body shape','body the shape of',0,'NN POS','NN DET NN POS',1,1,para-colocation
'motion information','its motions',0,'motion information','it motion',0,'NN POS','PRPS POS',1,1,para-colocation
'challenges usually deals with','in these maps the problems affecting',0,'challenge usually deal with','in these map the problem affect',0,'NNS RB NNS POS','IN DET NNS DET NNS PPR',0,0,para-freeword
on,for,0,on,for,0,IN,IN,1,1,bigrammar-prep
'in on',for,0,'in on',for,0,'IN POS',IN,1,1,bigrammar-prep
'with on',for,0,'with on',for,0,'IN POS',IN,1,1,bigrammar-prep
on,from,0,on,from,0,IN,IN,1,1,bigrammar-prep
technique,techniques,0,technique,technique,1,NN,NNS,1,1,bigrammar-nnum
the,this,0,the,this,0,DET,DET,1,1,bigrammar-det
limitation,limitations,0,limitation,limitation,1,NN,NNS,1,1,bigrammar-nnum
', couple of which',that,0,', couple of which',that,0,'PPC NN IN POS',IN,0,1,para-freeword
results,'will result',0,result,'will result',0,NNS,'MD POS',1,1,bigrammar-vtense
'actions , , view respectively :','that are when viewed from the',0,'action , , view respectively :','that be when view from the',0,'NNS PPC PPC NN RB SYM','IN VBP WRB VBN IN POS',0,0,para-freeword
since,because,0,since,because,0,IN,IN,0,1,para-freeword
is,are,0,be,be,1,VBZ,VBP,1,1,bigrammar-wform
'available multiple',discernible,0,'available multiple',discernible,0,'JJ PPR',JJ,1,0,para-freeword
'view directions',views,0,'view direction',view,0,'NN POS',NNS,1,1,para-colocation
'achieved the view directions','different views',0,'achieve the view direction','different view',0,'VBN DET NN POS','JJ POS',0,1,para-freeword
project,projects,0,project,project,1,NN,NNS,1,1,bigrammar-nnum
to,onto,0,to,onto,0,TO,IN,1,1,bigrammar-prep
figure,Figure,0,figure,Figure,0,NN,NNP,1,1,typo-spelling
'which are formed by are depth data','can be',0,'which be form by be depth datum','can be',0,'WDT VBP VBN IN VBP NN POS','MD PPR',1,0,para-freeword
'to exploit','that exploits',0,'to exploit','that exploit',0,'TO PPR','IN POS',1,1,bigrammar-wform
patterns,patterns;,0,pattern,patterns;,0,NNS,PPS,1,0,typo-spelling
'since action recognition on domain of','recognizing actions depicted in',0,'since action recognition on domain of','recognize action depict in',0,'IN NN NN IN NN POS','VBG NNS VBN POS',0,1,para-freeword
conduct,conducted,0,conduct,conduct,1,NN,VBN,1,1,bigrammar-vtense
'Experimental is shown to outperform the','The outperforms other',0,'Experimental be show to outperform the','The outperform other',0,'JJ VBZ VBN TO JJ POS','DET VBZ PPR',1,1,para-freeword
'action recognition','recognizing actions',0,'action recognition','recognize action',0,'NN POS','VBG POS',1,1,para-colocation
'of this paper compared with',of,0,'of this paper compare with',of,0,'IN DET NN VBN POS',IN,0,1,para-freeword
',','and ,',0,',','and ,',0,PPR,'CC PPR',1,1,para-freeword
the,a,0,the,a,0,DET,DET,1,1,bigrammar-det
'In </ref> we provide some concerned discussions','We discuss the results in',0,'In </ref> we provide some concern discussion','We discus the result in',0,'IN nnp> PRP VB DET JJ POS','PRP VB DET NNS POS',1,0,para-freeword
The,A,0,The,A,0,DET,DET,1,0,bigrammar-det
summaries,summary,0,summary,summary,1,NNS,NN,0,1,bigrammar-nnum
are,is,0,be,be,1,VBP,VBZ,1,1,bigrammar-wform
'In terms of used in several action recognition systems , including ,','to :',0,'In term of use in several action recognition system , include ,','to :',0,'IN NNS IN VBN IN JJ NN NN NNS PPC VBG PPR','TO SYM',0,0,para-freeword
Besides,'In addition',0,Besides,'In addition',0,IN,'IN POS',1,1,para-freeword
and,', , and',0,and,', , and',0,CC,'PPC PPC PPS',0,1,para-freeword
'The effectiveness of is also showed','has been shown to be effective',0,'The effectiveness of be also show','have be show to be effective',0,'DET NN IN VBZ RB PPR','VBZ VBN VBN TO VB PPR',0,1,para-freeword
;,the,0,;,the,0,PPS,DET,0,0,bigrammar-det
'a relationship',relationships,0,'a relationship',relationship,0,'DET POS',NNS,1,1,bigrammar-nnum
', captures In','have used to capture',0,', capture In','have use to capture',0,'PPC NNS POS','VB VBN TO POS',0,1,para-freeword
'which , are','can be has been',0,'which , be','can be have be',0,'WDT PPC POS','MD VB VBZ PPR',0,0,para-freeword
Most,'The most',0,Most,'The most',0,NNP,'DET PPR',1,1,bigrammar-det
'and effective',of,0,'and effective',of,0,'CC PPR',IN,0,0,para-freeword
are,'can be',0,be,'can be',0,VBP,'MD PPR',1,1,bigrammar-vtense
DMM,DMMs,0,DMM,DMMs,0,NNP,NNP,1,1,bigrammar-nnum
'which is alble',?,0,'which be alble',?,0,'WDT VBZ POS',?,0,0,unaligned
DMM,DMMs,0,DMM,DMMs,0,NNP,NNP,0,1,bigrammar-nnum
to,on,0,to,on,0,TO,IN,1,1,bigrammar-prep
DMM,DMMs,0,DMM,DMMs,0,NNP,NNP,1,1,bigrammar-nnum
as,?,0,as,?,0,IN,?,0,0,unaligned
trivial,'trivial task',0,trivial,'trivial task',0,JJ,'JJ POS',0,1,para-colocation
', , , the effectiveness of the approach is significantly affected','and poor',0,', , , the effectiveness of the approach be significantly affect','and poor',0,'PPC PPC PPC DET NN IN DET NN VBZ RB PPR','CC PPR',0,0,para-freeword
'L Xia J.K Aggarwal','L. Xia J.K. Aggarwal',0,'L Xia J.K Aggarwal','L. Xia J.K. Aggarwal',0,'NNP NNP NNP POS','PP NNP PP POS',1,1,typo-spelling
'presents a method',', , is use to',0,'present a method',', , be use to',0,'VBZ DET POS','PPC PPC VBZ NN PPR',0,0,para-freeword
'In this approach , they extend a adapt for','It is an extension the of',0,'In this approach , they extend a adapt for','It be an extension the of',0,'IN DET NN PPC PRP VB DET VB POS','PRP VBZ DET NN DET POS',1,0,para-freeword
Firstly,First,0,Firstly,First,0,NNP,NNP,1,1,typo-spelling
'applied respectively','applied respectively',1,'apply respectively','apply respectively',1,'JJ PPR','JJ PPR',1,0,para-colocation
'on to',to,0,'on to',to,0,'IN PPR',TO,0,1,bigrammar-prep
in,of,0,in,of,0,IN,IN,1,0,bigrammar-prep
'then as','that are',0,'then as','that be',0,'RB POS','IN POS',0,1,para-freeword
noises,noise,0,noise,noise,1,NNS,NN,1,1,bigrammar-nnum
'Finally , by method','resulting from',0,'Finally , by method','result from',0,'RB PPC IN POS','VBG POS',0,0,para-freeword
'will be',are,0,'will be',be,0,'MD PPR',VBP,0,1,bigrammar-vtense
'has demonstrated',demonstrated,0,'have demonstrate',demonstrate,0,'VBZ PPR',VBN,0,1,bigrammar-vtense
'applied for','using on',0,'apply for','use on',0,'JJ POS','VBG POS',0,1,para-freeword
'have not','did not',0,'have not','do not',0,'VB PPR','VBD PPR',1,0,bigrammar-vtense
'Therefore as','That is',0,'Therefore as','That be',0,'RB POS','DET PPR',1,0,para-freeword
on,from,0,on,from,0,IN,IN,1,1,bigrammar-prep
contours,'contours of',0,contour,'contour of',0,NNS,'NNS POS',1,0,bigrammar-prep
'And then ,','of the',0,'And then ,','of the',0,'CC RB PPR','IN POS',0,0,para-freeword
by,from,0,by,from,0,IN,IN,1,0,bigrammar-prep
'divided by in','dividing up',0,'divide by in','divide up',0,'VBN IN POS','VBG POS',0,1,para-freeword
the,a,0,the,a,0,DET,DET,0,1,bigrammar-det
?,of,0,?,of,0,?,IN,0,0,unaligned
'values points of the sparse cells determined by inside to be silhouettes','points inside the sparse cells are typically silhouette',0,'value point of the sparse cell determine by inside to be silhouette','point inside the sparse cell be typically silhouette',0,'NNS NNS IN DET NN NNS VBN IN IN TO VB POS','NNS IN DET NN NNS VBP RB POS',1,1,para-freeword
are,?,0,be,?,0,VBP,?,0,0,unaligned
or,'or on',0,or,'or on',0,CC,'CC POS',0,0,bigrammar-prep
with,of,0,with,of,0,IN,IN,1,1,bigrammar-prep
and,'and at',0,and,'and at',0,CC,'CC POS',1,1,bigrammar-prep
'The work by J. Wang et al.','J. Wang et al.',0,'The work by J. Wang et al.','J. Wang et al.',0,'DET NN IN PP NNP NNP NN','PP NNP NNP NN',1,1,para-colocation
'a feature',features,0,'a feature',feature,0,'DET POS',NNS,1,1,bigrammar-nnum
'to describe the local ``depth appearance\'\' each joint named Local Occupancy Patterns','to named Local Occupancy Patterns describe the local ``depth appearance\'\' each joint of the body',0,'to describe the local ``depth appearance\\ each joint name Local Occupancy Patterns','to name Local Occupancy Patterns describe the local ``depth appearance\\ each joint of the body',0,'TO VB DET JJ NN NN DET JJ VBN NNP NN POS','TO VBN NNP NN NNS VB DET JJ NN NN DET JJ IN DET POS',1,0,para-freeword
for,of,0,for,of,0,IN,IN,1,1,bigrammar-prep
LOP,LOPs,0,LOP,LOPs,0,NNP,NNP,1,1,bigrammar-nnum
action,'action in',0,action,'action in',0,NN,'NN POS',1,0,bigrammar-prep
',',?,0,',',?,0,PPR,?,0,0,unaligned
'firstly ,',',',0,'firstly ,',',',0,'RB PPR',PPR,0,0,para-freeword
the,?,0,the,?,0,DET,?,0,0,unaligned
the,these,0,the,these,0,DET,DET,1,1,bigrammar-det
is,are,0,be,be,1,VBZ,VBP,1,1,typo-spelling
', then , is',is,0,', then , be',be,0,'PPC RB PPC PPR',VBZ,1,1,para-freeword
'depth action video','depth video depicting actions',0,'depth action video','depth video depict action',0,'NN NN POS','NN NN VBG POS',0,1,para-colocation
'In general , .',.,0,'In general , .',.,0,'IN JJ PPC SYM',PP,0,1,para-freeword
'the works','A number of studies',0,'the work','A number of study',0,'DET POS','DET NN IN POS',0,1,para-colocation
'human segmentation','human segmentation of the body',0,'human segmentation','human segmentation of the body',0,'JJ POS','JJ NN IN DET POS',1,1,para-colocation
'location human','body the of location the',0,'location human','body the of location the',0,'NN PPR','NN DET IN NN POS',1,1,para-colocation
'partially on practical applications',somewhat,0,'partially on practical application',somewhat,0,'RB IN JJ POS',RB,1,0,para-freeword
sequence,sequences,0,sequence,sequence,1,NN,NNS,1,1,bigrammar-nnum
'offset information of frames','offset of the frames',0,'offset information of frame','offset of the frame',0,'VB NN IN POS','VB IN DET POS',1,1,para-colocation
'distance computation in this work','distance computations',0,'distance computation in this work','distance computation',0,'NN NN IN DET POS','NN POS',1,0,para-colocation
'In work of the was that to better represent 3D joint features a new discriminative dictionary learning algorithm proposed','proposed a new discriminative dictionary learning algorithm to better represent 3D joint features',0,'In work of the be that to good represent 3D joint feature a new discriminative dictionary learn algorithm propose','propose a new discriminative dictionary learn algorithm to good represent 3D joint feature',0,'IN NN IN DET VBD IN TO RB VB NNP JJ NNS DET JJ NN NN VBG NN PPR','JJ DET JJ NN NN VBG NN TO RB VB NNP JJ POS',0,1,para-freeword
geometry,geometric,0,geometry,geometric,0,NN,JJ,1,1,bigrammar-wform
was,'can be',0,be,'can be',0,VBD,'MD PPR',1,1,bigrammar-vtense
'. Actually ,',.,0,'. Actually ,',.,0,'SYM RB PPR',PP,0,1,para-freeword
'most skeleton','the skeleton of Most',0,'most skeleton','the skeleton of Most',0,'JJS POS','DET NN IN POS',0,1,para-colocation
the,?,0,the,?,0,DET,?,0,0,unaligned
'due to depending , these approaches have to deal with limitations','their dependence is a detriment',0,'due to depend , these approach have to deal with limitation','their dependence be a detriment',0,'JJ TO VBG PPC DET NNS VB TO NN IN POS','PRPS NN VBZ DET POS',1,1,para-freeword
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
'to segment human body','to the human body be segmented',0,'to segment human body','to the human body be segment',0,'TO NN JJ POS','TO DET JJ NN VB PPR',1,1,para-freeword
like,'unlike the methods in',0,like,'unlike the method in',0,IN,'IN DET NNS POS',1,1,para-freeword
'In addition extraction as is not in our work required skeleton in','Moreover , unlike the methods , no has to be extracted skeleton in',0,'In addition extraction as be not in our work require skeleton in','Moreover , unlike the method , no have to be extract skeleton in',0,'IN NN NN IN VBZ RB IN PRPS NN VBN NN POS','RB PPC IN DET NNS PPC DET VBZ TO VB VBN NN POS',1,1,para-freeword
'an action',actions,0,'an action',action,0,'DET POS',NNS,1,0,bigrammar-nnum
?,in,0,?,in,0,?,IN,0,0,mogrammar-prep
in,on,0,in,on,0,IN,IN,0,1,bigrammar-prep
'In this section',Here,0,'In this section',Here,0,'IN DET POS',RB,1,1,para-freeword
on,for,0,on,for,0,IN,IN,1,1,bigrammar-prep
'and then',and,0,'and then',and,0,'CC PPR',CC,1,1,para-freeword
to,'to them to',0,to,'to them to',0,TO,'TO PRP PPR',1,1,para-freeword
'motivation of using a bag-of-words model to action recognition','motivation behind using the bag-of-words model',0,'motivation of use a bag-of-words model to action recognition','motivation behind use the bag-of-words model',0,'NN IN VBG DET JJ NN TO NN POS','NN IN VBG DET JJ POS',1,1,para-colocation
'to handle','that it can handle',0,'to handle','that it can handle',0,'TO PPR','IN PRP MD PPR',1,1,para-freeword
a,the,0,a,the,0,DET,DET,1,1,bigrammar-det
input,'input then',0,input,'input then',0,NN,'NN PPR',1,0,para-freeword
of,to,0,of,to,0,IN,TO,1,0,bigrammar-prep
'Following subsections','The following steps',0,'Following subsection','The follow step',0,'VBG POS','DET VBG POS',1,0,para-freeword
about,of,0,about,of,0,IN,IN,1,0,bigrammar-prep
to,that,0,to,that,0,TO,IN,1,1,para-freeword
'has been achieved not specific successes on 3D data in comparison with 2D data','has in 3D data had less success than in 2D data',0,'have be achieve not specific success on 3D datum in comparison with 2D datum','have in 3D datum have le success than in 2D datum',0,'VBZ VBN VBN RB JJ NNS IN NNP NNS IN NN IN NNP POS','VBZ IN NNP NNS VBD CC NN IN IN NNP POS',1,1,para-freeword
at,in,0,at,in,0,IN,IN,1,1,bigrammar-prep
through,as,0,through,as,0,IN,IN,1,1,bigrammar-prep
?,using,0,?,use,0,?,VBG,0,0,bigrammar-others
'In order to adopt the trajectory based approach , we','Here , use a trajectory-based approach we to',0,'In order to adopt the trajectory base approach , we','Here , use a trajectory-based approach we to',0,'IN NN TO VB DET NN VBN NN PPC POS','RB PPC NN DET JJ NN PRP PPR',1,0,para-freeword
on,in,0,on,in,0,IN,IN,1,1,bigrammar-prep
'keep away from challenges from the','avoid problems related to',0,'keep away from challenge from the','avoid problem relate to',0,'VB RB IN NNS IN POS','VB NNS JJ PPR',1,0,para-freeword
'human body segmentation','human segmentation of the body',0,'human body segmentation','human segmentation of the body',0,'JJ NN POS','JJ NN IN DET POS',0,1,para-colocation
