s_str,t_str,st_samestr,s_stem,t_stem,st_samestem,s_pos,t_pos,st_precede,st_follow,class
verbs,verb,0,verb,verb,1,NNS,NN,1,1,bigrammar-others
sentences,sentence,0,sentence,sentence,1,NNS,NN,1,0,bigrammar-others
take,takes,0,take,take,1,VB,VBZ,0,0,bigrammar-inter
while,whereas,0,while,whereas,0,IN,IN,0,0,paraphrase
verbs,verb,0,verb,verb,1,NNS,NN,1,1,bigrammar-others
take,takes,0,take,take,1,VB,VBZ,0,0,bigrammar-inter
the,a,0,the,a,0,DET,DET,0,0,bigrammar-det
forms,form,0,form,form,1,NNS,NN,0,0,bigrammar-inter
The,A,0,The,A,0,DET,DET,1,1,bigrammar-det
is,arises,0,be,arise,0,VBZ,VBZ,1,0,paraphrase
verbs,verb,0,verb,verb,1,NNS,NN,0,1,bigrammar-others
the,a,0,the,a,0,DET,DET,1,1,bigrammar-det
sentences,sentence,0,sentence,sentence,1,NNS,NN,1,1,bigrammar-others
take,has,0,take,have,0,VB,VBZ,1,1,paraphrase
appearances,appearance,0,appearance,appearance,1,NNS,NN,1,1,bigrammar-others
forms,form,0,form,form,1,NNS,NN,1,1,bigrammar-others
while,although,0,while,although,0,IN,IN,1,1,paraphrase
mainly,predominantly,0,mainly,predominantly,0,RB,RB,0,1,paraphrase
prefer,prefers,0,prefer,prefer,1,VB,VBZ,0,1,bigrammar-others
that,?,0,that,?,0,IN,?,0,0,unaligned
mis-tags,mistags,0,mis-tags,mistags,0,JJ,NNS,1,0,spelling
to,of,0,to,of,0,TO,IN,0,1,bigrammar-prep
might,could,0,may,could,0,MD,MD,0,1,paraphrase
while,whereas,0,while,whereas,0,IN,IN,1,1,paraphrase
the,a,0,the,a,0,DET,DET,1,1,bigrammar-det
which,that,0,which,that,0,WDT,IN,1,1,bigrammar-others
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
was,was,1,be,be,1,VBD,VBD,1,1,bigrammar-others
while,although,0,while,although,0,IN,IN,1,1,paraphrase
usage,use,0,usage,use,0,NN,NN,1,1,paraphrase
some,other,0,some,other,0,DET,JJ,0,1,paraphrase
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
structures,structure,0,structure,structure,1,NNS,NN,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
might,may,0,may,may,1,MD,MD,1,1,paraphrase
shows,gives,0,show,give,0,NNS,VBZ,1,1,paraphrase
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,1,bigrammar-others
shows,plots,0,show,plot,0,NNS,NNS,1,1,paraphrase
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,1,bigrammar-others
represented,denoted,0,represent,denote,0,VBN,NN,1,1,paraphrase
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
draw,plot,0,draw,plot,0,NN,NN,1,0,paraphrase
full,complete,0,full,complete,0,JJ,JJ,0,1,paraphrase
in,in,1,in,in,1,IN,IN,1,1,bigrammar-prep
Figure,Figure,1,Figure,Figure,1,NNP,NNP,1,1,bigrammar-prep
points,percent,0,point,percent,0,NNS,NN,1,1,paraphrase
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,1,bigrammar-others
points,percent,0,point,percent,0,NNS,NN,1,0,paraphrase
improvements,improvement,0,improvement,improvement,1,NNS,NN,1,0,bigrammar-others
the,this,0,the,this,0,DET,DET,0,0,bigrammar-det
tendencies,tendency,0,tendency,tendency,1,NNS,NN,0,0,bigrammar-others
would,does,0,would,do,0,MD,VBZ,0,1,paraphrase
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,1,bigrammar-others
would,could,0,would,could,0,MD,MD,1,0,paraphrase
the,an,0,the,an,0,DET,DET,1,0,bigrammar-det
outline,overview,0,outline,overview,0,NN,NN,0,1,paraphrase
for,in,0,for,in,0,IN,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
Table,Tables,0,Table,Tables,0,NNP,NNS,1,1,bigrammar-others
show,give,0,show,give,0,NN,VB,1,1,paraphrase
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
that,this,0,that,this,0,IN,DET,1,1,bigrammar-det
errors,error,0,error,error,1,NNS,NN,1,1,bigrammar-others
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
dependency,dependencies,0,dependency,dependency,1,NN,NNS,1,1,bigrammar-others
names,name,0,name,name,1,NNS,NN,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
regarded,mistook,0,regard,mistake,0,JJ,NN,1,1,paraphrase
modifiers,modifier,0,modifier,modifier,1,NNS,NN,0,1,bigrammar-others
then,?,0,then,?,0,RB,?,0,0,unaligned
and,or,0,and,or,0,CC,CC,1,1,bigrammar-others
marks,punctuation,0,mark,punctuation,0,NNS,NN,1,1,paraphrase
kind,type,0,kind,type,0,NN,NN,1,1,paraphrase
errors,error,0,error,error,1,NNS,NN,1,0,bigrammar-others
The,?,0,The,?,0,DET,?,0,0,mogrammar-det
usually,?,0,usually,?,0,RB,?,0,0,unaligned
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
gave,assigned,0,give,assign,0,VBD,VBN,1,1,paraphrase
conversation,colloquial,0,conversation,colloquial,0,NN,NN,1,1,paraphrase
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
phrases,phrase,0,phrase,phrase,1,NNS,NN,1,1,bigrammar-others
precede,precedes,0,precede,precede,1,VB,VBZ,0,0,bigrammar-inter
and,or,0,and,or,0,CC,CC,0,0,paraphrase
questions,question,0,question,question,1,NNS,NN,0,1,bigrammar-inter
expenditures,expenditure,0,expenditure,expenditure,1,NNS,NN,1,1,bigrammar-others
errors,error,0,error,error,1,NNS,NN,1,0,bigrammar-others
only,merely,0,only,merely,0,RB,RB,1,1,paraphrase
Imperatives,Imperative,0,Imperatives,Imperative,0,NNS,JJ,1,1,bigrammar-others
questions,question,0,question,question,1,NNS,NN,1,1,bigrammar-others
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
each,separate,0,each,separate,0,DET,JJ,1,0,paraphrase
construction,constructions,0,construction,construction,1,NN,NNS,0,1,bigrammar-others
of,?,0,of,?,0,IN,?,0,0,mogrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
examined,examine,0,examine,examine,1,VBN,VB,1,1,bigrammar-vtense
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
would,could,0,would,could,0,MD,MD,1,1,paraphrase
portable,ported,0,portable,port,0,JJ,NN,1,1,bigrammar-wform
give,provide,0,give,provide,0,VB,VB,1,1,paraphrase
give,provide,0,give,provide,0,VB,VB,1,1,paraphrase
shows,gives,0,show,give,0,NNS,VBZ,1,1,paraphrase
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,1,bigrammar-others
the,their,0,the,their,0,DET,PRPS,1,1,bigrammar-det
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,0,bigrammar-others
for,with,0,for,with,0,IN,IN,0,1,bigrammar-prep
while,whereas,0,while,whereas,0,IN,IN,1,1,bigrammar-others
the,this,0,the,this,0,DET,DET,1,1,bigrammar-det
With,Using,0,With,Using,0,IN,VBG,1,1,paraphrase
contain,contains,0,contain,contain,1,VB,VBZ,1,0,bigrammar-wform
which,?,0,which,?,0,WDT,?,0,0,unaligned
of,?,0,of,?,0,IN,?,0,0,mogrammar-prep
them,these,0,them,these,0,PRP,DET,1,1,bigrammar-det
noticed,obvious,0,notice,obvious,0,JJ,JJ,0,0,paraphrase
on,with,0,on,with,0,IN,IN,1,1,bigrammar-prep
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
on,with,0,on,with,0,IN,IN,1,1,bigrammar-prep
theparsing,parsing,0,theparsing,parse,0,VBG,VBG,0,1,typo
to,with,0,to,with,0,TO,IN,1,1,bigrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
present,this,0,present,this,0,JJ,DET,0,0,paraphrase
work,study,0,work,study,0,NN,NN,0,1,paraphrase
various,different,0,various,different,0,JJ,JJ,1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
?,with,0,?,with,0,?,IN,0,0,mogrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
natural,?,0,natural,?,0,JJ,?,0,0,unaligned
like,including,0,like,include,0,IN,VBG,0,1,paraphrase
Therefore,Thus,0,Therefore,Thus,0,RB,RB,1,1,paraphrase
on,?,0,on,?,0,IN,?,0,0,mogrammar-prep
includes,include,0,include,include,1,VBZ,VB,1,1,bigrammar-others
find,determine,0,find,determine,0,VB,VB,1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
Though,However,0,Though,However,0,IN,RB,1,1,paraphrase
about,whether,0,about,whether,0,IN,IN,1,1,paraphrase
are,is,0,be,be,1,VBP,VBZ,1,1,bigrammar-others
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
compare,comparing,0,compare,compare,1,VB,VBG,1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
affect,affects,0,affect,affect,1,VB,VBZ,1,0,bigrammar-others
setup,'set up',0,setup,'set up',0,NN,'NN POS',1,1,spelling
of,for,0,of,for,0,IN,IN,1,1,bigrammar-det
see,observe,0,see,observe,0,VB,VB,1,1,paraphrase
labeling,'labeling problem',0,label,'label problem',0,VBG,'VBG POS',1,1,paraphrase
text,texts,0,text,text,1,NN,NNS,1,1,bigrammar-others
text,texts,0,text,text,1,NN,NNS,1,1,bigrammar-others
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
with,from,0,with,from,0,IN,IN,1,0,bigrammar-prep
about,concerning,0,about,concern,0,IN,VBG,1,1,paraphrase
see,sees,0,see,see,1,VB,VBZ,1,0,bigrammar-others
keep,retains,0,keep,retain,0,VB,VBZ,1,1,paraphrase
as,since,0,as,since,0,IN,IN,1,1,paraphrase
accuracy,accuracies,0,accuracy,accuracy,1,NN,NNS,1,1,bigrammar-others
puts,places,0,put,place,0,NNS,NNS,1,1,paraphrase
rest,remaining,0,rest,remain,0,NN,VBG,1,1,paraphrase
In,For,0,In,For,0,IN,IN,1,1,bigrammar-prep
get,acquire,0,get,acquire,0,VB,VB,1,1,paraphrase
divide,divided,0,divide,divide,1,NN,VBN,1,0,bigrammar-vtense
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
Secondly,Next,0,Secondly,Next,0,RB,NNP,1,1,paraphrase
Thirdly,Then,0,Thirdly,Then,0,NNP,RB,1,1,paraphrase
extract,extracted,0,extract,extract,1,NN,VBN,1,1,bigrammar-vtense
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
showed,indicated,0,show,indicate,0,VBD,JJ,1,1,paraphrase
use,used,0,use,use,1,NN,VBN,1,1,bigrammar-vtense
use,used,0,use,use,1,NN,VBN,1,1,bigrammar-vtense
by,?,0,by,?,0,IN,?,0,0,mogrammar-prep
text,texts,0,text,text,1,NN,NNS,1,1,bigrammar-others
?,with,0,?,with,0,?,IN,0,0,mogrammar-prep
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
of,in,0,of,in,0,IN,IN,1,0,bigrammar-prep
between,among,0,between,among,0,IN,IN,1,1,bigrammar-prep
were,performed,0,be,perform,0,VBD,VBN,0,1,paraphrase
our,?,0,our,?,0,PRPS,?,0,0,mogrammar-det
the,the,1,the,the,1,DET,DET,0,1,bigrammar-det
are,were,0,be,be,1,VBP,VBD,1,0,bigrammar-vtense
?,for,0,?,for,0,?,IN,0,0,mogrammar-prep
It,This,0,It,This,0,PRP,DET,1,1,paraphrase
were,performed,0,be,perform,0,VBD,VBN,1,1,paraphrase
worst,lowest,0,bad,lowest,0,JJS,JJS,1,1,paraphrase
the,?,0,the,?,0,DET,?,0,0,unaligned
are,were,0,be,be,1,VBP,VBD,1,1,bigrammar-vtense
And,Furthermore,0,And,Furthermore,0,CC,RB,1,0,paraphrase
remarkable,substantial,0,remarkable,substantial,0,JJ,JJ,1,1,paraphrase
in,for,0,in,for,0,IN,IN,1,1,bigrammar-prep
translations,translations,1,translation,translation,1,NNS,NNS,1,1,duplicate
treat,treats,0,treat,treat,1,NN,VBZ,1,1,bigrammar-others
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
details,detail,0,detail,detail,1,NNS,NN,1,1,bigrammar-others
investigation,investigations,0,investigation,investigation,1,NN,NNS,1,1,bigrammar-wform
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
difference,differences,0,difference,difference,1,NN,NNS,1,0,bigrammar-others
of,in,0,of,in,0,IN,IN,0,1,bigrammar-prep
affects,affected,0,affect,affect,1,VBZ,JJ,1,1,bigrammar-vtense
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
their,these,0,their,these,0,PRPS,DET,1,1,bigrammar-det
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
of,?,0,of,?,0,IN,?,0,0,mogrammar-prep
Particularly,'In particular',0,Particularly,'In particular',0,RB,'IN PPR',1,1,paraphrase
Also,Furthermore,0,Also,Furthermore,0,RB,RB,1,1,paraphrase
even,also,0,even,also,0,RB,RB,1,1,paraphrase
show,display,0,show,display,0,NN,NN,1,1,paraphrase
on,of,0,on,of,0,IN,IN,1,1,bigrammar-prep
to,for,0,to,for,0,TO,IN,1,1,bigrammar-prep
fine-grainedness,'fine-grained nature',0,fine-grainedness,'fine-grained nature',0,JJ,'JJ POS',1,1,paraphrase
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
increase,increasing,0,increase,increase,1,NN,VBG,1,1,bigrammar-wform
are,is,0,be,be,1,VBP,VBZ,1,1,bigrammar-others
of,?,0,of,?,0,IN,?,0,0,mogrammar-prep
interdependencies,interdependency,0,interdependency,interdependency,1,NNS,NN,1,1,bigrammar-others
nor,or,0,nor,or,0,CC,CC,1,1,bigrammar-others
perspectives,viewpoint,0,perspective,viewpoint,0,NNS,NN,1,1,paraphrase
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
of,of,1,of,of,1,IN,IN,1,1,bigrammar-prep
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
the,a,0,the,a,0,DET,DET,0,1,bigrammar-det
appropriateness,validity,0,appropriateness,validity,0,NN,NN,1,1,paraphrase
of,in,0,of,in,0,IN,IN,1,1,bigrammar-prep
those,?,0,those,?,0,DET,?,0,0,mogrammar-det
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
in,into,0,in,into,0,IN,IN,1,1,bigrammar-prep
with,to,0,with,to,0,IN,TO,1,1,bigrammar-prep
It,WordNet,0,It,WordNet,0,PRP,NNP,1,1,paraphrase
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
describe,'will describe',0,describe,'will describe',0,VB,'MD PPR',1,1,bigrammar-vtense
shows,indicates,0,show,indicate,0,NNS,VBZ,1,1,paraphrase
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
far,very,0,far,very,0,RB,RB,1,1,paraphrase
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
problem,issue,0,problem,issue,0,NN,NN,1,1,paraphrase
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
this,such,0,this,such,0,DET,JJ,1,0,paraphrase
showed,shows,0,show,show,1,VBD,NNS,1,1,bigrammar-vtense
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
researches,research,0,research,research,1,VBZ,NN,0,1,bigrammar-others
on,in,0,on,in,0,IN,IN,1,1,bigrammar-prep
sequencial,sequential,0,sequencial,sequential,0,NN,NN,1,1,spelling
model,?,0,model,?,0,NN,?,0,0,unaligned
the,?,0,the,?,0,DET,?,0,0,unaligned
an,?,0,an,?,0,DET,?,0,0,mogrammar-det
Also,Furthermore,0,Also,Furthermore,0,RB,RB,1,1,paraphrase
problems,issues,0,problem,issue,0,NNS,NNS,1,1,paraphrase
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
fine-grainedness,'fine-grained nature',0,fine-grainedness,'fine-grained nature',0,JJ,'JJ POS',1,1,paraphrase
Especially,'In particular',0,Especially,'In particular',0,RB,'IN PPR',1,1,paraphrase
receiving,'has received',0,receive,'have receive',0,VBG,'VBZ PPR',1,1,paraphrase
Particularly,'In particular',0,Particularly,'In particular',0,RB,'IN PPR',1,1,paraphrase
exist,are,0,exist,be,0,VB,VBP,1,1,paraphrase
much,many,0,much,many,0,RB,JJ,1,1,paraphrase
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
a,the,0,a,the,0,DET,DET,1,1,bigrammar-det
At,In,0,At,In,0,IN,IN,1,1,bigrammar-prep
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
splitted,split,0,splitted,split,0,NN,NN,1,1,spelling
?,as,0,?,as,0,?,IN,0,0,mogrammar-prep
?,for,0,?,for,0,?,IN,0,0,mogrammar-prep
exist,are,0,exist,be,0,VB,VBP,1,1,paraphrase
given,provided,0,give,provide,0,VBN,VBN,1,1,paraphrase
hereinafter,hereafter,0,hereinafter,hereafter,0,NN,RB,1,1,spelling
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
labels,label,0,label,label,1,NNS,NN,1,1,bigrammar-others
?,with,0,?,with,0,?,IN,0,0,mogrammar-prep
includes,include,0,include,include,1,VBZ,VB,1,1,bigrammar-others
use,'have used',0,use,'have use',0,NN,'VB PPR',1,1,bigrammar-vtense
is,are,0,be,be,1,VBZ,VBP,1,1,bigrammar-others
shows,displays,0,show,display,0,NNS,NNS,1,1,paraphrase
considerable,substantial,0,considerable,substantial,0,JJ,JJ,1,0,paraphrase
poorer,worse,0,poor,bad,0,JJR,JJR,1,1,paraphrase
However,Nonetheless,0,However,Nonetheless,0,RB,RB,1,1,paraphrase
are,was,0,be,be,1,VBP,VBD,1,1,bigrammar-vtense
smaller,less,0,smaller,le,0,JJR,CC,1,1,paraphrase
the,an,0,the,an,0,DET,DET,1,1,bigrammar-det
considering,'taking into consideration',0,consider,'take into consideration',0,VBG,'VBG IN POS',1,1,paraphrase
shows,show,0,show,show,1,NNS,NN,1,1,bigrammar-others
fortunatelly,fortunately,0,fortunatelly,fortunately,0,RB,RB,0,1,typo
means,indicates,0,mean,indicate,0,NNS,VBZ,1,0,paraphrase
strongly,well,0,strongly,well,0,RB,RB,1,1,paraphrase
to,for,0,to,for,0,TO,IN,1,1,bigrammar-prep
improvements,improvement,0,improvement,improvement,1,NNS,NN,1,1,bigrammar-others
was,were,0,be,be,1,VBD,VBD,1,1,bigrammar-others
for,in,0,for,in,0,IN,IN,1,1,bigrammar-prep
by,because,0,by,because,0,IN,IN,1,1,paraphrase
saw,observed,0,see,observe,0,NN,JJ,1,1,paraphrase
Also,'In addition',0,Also,'In addition',0,RB,'IN POS',1,1,paraphrase
suggesting,'They suggested',0,suggest,'They suggest',0,VBG,'PRP PPR',0,1,paraphrase
representation,representing,0,representation,represent,0,NN,VBG,0,0,bigrammar-wform
?,a,0,?,a,0,?,DET,0,0,mogrammar-det
in,with,0,in,with,0,IN,IN,1,1,bigrammar-prep
